id,title,status,created,updated,tags,source_id,chapter,page,kindle_location,screenshot_file,evidence_category,confidence,claim,summary,evidence_note,limitations,creative_use,people,events,places,organizations,themes,related_fact_cards,related_questions,type,source_title,statement,source_note,japanese_note,cautions,verification_needed
"FACT_MEXEMP_2390","Mexico City was still held by Márquez and under siege","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","historical_fact","probable","弁護人・外交官をQuerétaroへ向かわせようとした時点で、Mexico CityはなおMárquezが保持しており、包囲下にあった。","弁護人・外交官をQuerétaroへ向かわせようとした時点で、Mexico CityはなおMárquezが保持しており、包囲下にあった。","Source note: Mexico City remained held by Márquez and under siege. Japanese note: 弁護人・外交官の移動が困難だった背景。","Cautions: Mexico City包囲の軍事経過は別史料で要確認。 Verification needed: yes.","首都の閉塞感と情報遮断を描く素材。","Leonardo Márquez; Maximilian","Siege of Mexico City; Trial of Maximilian","Mexico City; Querétaro","Mexican Empire; republican army","包囲戦; 弁護準備; 帝政崩壊","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","弁護人・外交官をQuerétaroへ向かわせようとした時点で、Mexico CityはなおMárquezが保持しており、包囲下にあった。","Mexico City remained held by Márquez and under siege.","弁護人・外交官の移動が困難だった背景。","Mexico City包囲の軍事経過は別史料で要確認。","yes"
"FACT_MEXEMP_2391","Agnes Salm-Salm went to San Luis Potosí to ask Juárez for more time","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","historical_fact","probable","Agnes Salm-Salmは、裁判開始を遅らせるためSan Luis Potosíへ向かい、Juárezに猶予を求めた。","Agnes Salm-Salmは、裁判開始を遅らせるためSan Luis Potosíへ向かい、Juárezに猶予を求めた。","Source note: Agnes went to plead before Juárez for more time. Japanese note: Agnesの助命工作の中心場面。","Cautions: Agnes本人の影響力はShawcrossも限定的と見る。 Verification needed: yes.","夜を徹した奔走や法廷前の緊迫感に使える。","Agnes Salm-Salm; Benito Juárez","Trial of Maximilian; international appeals for clemency","San Luis Potosí; Querétaro","Juárez government","助命嘆願; 裁判延期; 外交圧力","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Agnes Salm-Salmは、裁判開始を遅らせるためSan Luis Potosíへ向かい、Juárezに猶予を求めた。","Agnes went to plead before Juárez for more time.","Agnesの助命工作の中心場面。","Agnes本人の影響力はShawcrossも限定的と見る。","yes"
"FACT_MEXEMP_2392","Felix Salm-Salm believed escape was Maximilian’s only chance","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","primary_testimony","probable","Felix Salm-Salmは、軍法会議が死刑の既定判決を出すだけだと考え、逃亡がMaximilianらの命を救う唯一の方法だと説いた。","Felix Salm-Salmは、軍法会議が死刑の既定判決を出すだけだと考え、逃亡がMaximilianらの命を救う唯一の方法だと説いた。","Source note: Salm-Salm saw escape as the only way. Japanese note: 裁判を「茶番」と見る帝政側認識。","Cautions: Salm-Salm側証言の可能性が高く、共和派側の法的認識とは分ける。 Verification needed: yes.","裁判か逃亡かという葛藤場面に使える。","Felix Salm-Salm; Maximilian","Trial of Maximilian; Salm-Salm escape plan","Querétaro","Mexican Empire; Juárez government","逃亡計画; 軍法会議; 死刑予期","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Felix Salm-Salmは、軍法会議が死刑の既定判決を出すだけだと考え、逃亡がMaximilianらの命を救う唯一の方法だと説いた。","Salm-Salm saw escape as the only way.","裁判を「茶番」と見る帝政側認識。","Salm-Salm側証言の可能性が高く、共和派側の法的認識とは分ける。","yes"
"FACT_MEXEMP_2393","Maximilian initially regarded flight as dishonourable","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","primary_testimony","probable","Maximilianは当初、逃亡は不名誉だとして拒んだが、Querétaro防衛で名誉は果たされたと説得された。","Maximilianは当初、逃亡は不名誉だとして拒んだが、Querétaro防衛で名誉は果たされたと説得された。","Source note: Maximilian first objected to flight as dishonourable. Japanese note: Maximilianの自己像・君主的名誉観の素材。","Cautions: 会話内容は原典未確認なら一次証言扱い。 Verification needed: yes.","逃亡をめぐる心理的葛藤に使える。","Maximilian; Felix Salm-Salm","Salm-Salm escape plan; Querétaro aftermath","Querétaro","Mexican Empire","名誉; 逃亡; 君主像","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Maximilianは当初、逃亡は不名誉だとして拒んだが、Querétaro防衛で名誉は果たされたと説得された。","Maximilian first objected to flight as dishonourable.","Maximilianの自己像・君主的名誉観の素材。","会話内容は原典未確認なら一次証言扱い。","yes"
"FACT_MEXEMP_2394","Salm-Salm bribed a liberal officer for the escape plan","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","primary_testimony","probable","Salm-Salmは看守側の自由派士官を逃亡計画に引き込み、金銭を提示して協力を得ようとした。","Salm-Salmは看守側の自由派士官を逃亡計画に引き込み、金銭を提示して協力を得ようとした。","Source note: A guard officer was offered money. Japanese note: 逃亡計画が賄賂に依存していた。","Cautions: 金額・交渉過程は回想証言の可能性があり要裏取り。 Verification needed: yes.","汚職・疲弊・未払い兵士の描写に使える。","Felix Salm-Salm; Maximilian","Salm-Salm escape plan","Querétaro; Havana","republican army","買収; 捕虜逃亡; 軍規","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Salm-Salmは看守側の自由派士官を逃亡計画に引き込み、金銭を提示して協力を得ようとした。","A guard officer was offered money.","逃亡計画が賄賂に依存していた。","金額・交渉過程は回想証言の可能性があり要裏取り。","yes"
"FACT_MEXEMP_2395","Coded notes were hidden in Maximilian’s bread","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","primary_testimony","probable","監視下での連絡手段として、Maximilianの使用人は朝食のパンに暗号文を隠した。","監視下での連絡手段として、Maximilianの使用人は朝食のパンに暗号文を隠した。","Source note: Coded notes were hidden in bread. Japanese note: 捕虜間通信の具体的手段。","Cautions: 劇的逸話であり、原典確認が必要。 Verification needed: yes.","サスペンス的な小道具として有用。","Maximilian; Felix Salm-Salm","Salm-Salm escape plan","Querétaro","Mexican Empire","暗号; 監視; 逃亡準備","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","監視下での連絡手段として、Maximilianの使用人は朝食のパンに暗号文を隠した。","Coded notes were hidden in bread.","捕虜間通信の具体的手段。","劇的逸話であり、原典確認が必要。","yes"
"FACT_MEXEMP_2396","Maximilian refused to flee without Mejía and Miramón","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","primary_testimony","probable","Maximilianは、MejíaとMiramónを置いて逃げることを拒み、彼らとともに逃亡することに固執した。","Maximilianは、MejíaとMiramónを置いて逃げることを拒み、彼らとともに逃亡することに固執した。","Source note: Maximilian would not flee without Mejía and Miramón. Japanese note: Maximilianの名誉観・連帯意識として描写できる。","Cautions: 帝政側美談として使われやすいため、証言源確認が必要。 Verification needed: yes.","君主の美徳としても、判断の硬直としても描ける。","Maximilian; Mejía; Miramón; Felix Salm-Salm","Salm-Salm escape plan","Querétaro","Mexican Empire","忠誠; 共同責任; 捕虜","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Maximilianは、MejíaとMiramónを置いて逃げることを拒み、彼らとともに逃亡することに固執した。","Maximilian would not flee without Mejía and Miramón.","Maximilianの名誉観・連帯意識として描写できる。","帝政側美談として使われやすいため、証言源確認が必要。","yes"
"FACT_MEXEMP_2397","Salm-Salm secured horses and revolvers for the escape","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","primary_testimony","probable","Salm-Salmは、Maximilian、Mejía、Miramónらの逃亡に必要な馬と拳銃を確保した。","Salm-Salmは、Maximilian、Mejía、Miramónらの逃亡に必要な馬と拳銃を確保した。","Source note: Horses and revolvers were secured. Japanese note: 逃亡計画が実行寸前まで進んでいたことを示す。","Cautions: 実行可能性と実際の準備状況は別史料で要確認。 Verification needed: yes.","夜間脱出直前の緊張感を作れる。","Felix Salm-Salm; Maximilian; Mejía; Miramón","Salm-Salm escape plan","Querétaro","Mexican Empire","逃亡準備; 武器; 馬","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Salm-Salmは、Maximilian、Mejía、Miramónらの逃亡に必要な馬と拳銃を確保した。","Horses and revolvers were secured.","逃亡計画が実行寸前まで進んでいたことを示す。","実行可能性と実際の準備状況は別史料で要確認。","yes"
"FACT_MEXEMP_2398","Maximilian requested spectacles and supplies on May 30","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","primary_testimony","probable","5月30日朝、Maximilianは逃亡用の変装として眼鏡を求め、馬・武器・食料・酒類などの準備を指示するメモを送った。","5月30日朝、Maximilianは逃亡用の変装として眼鏡を求め、馬・武器・食料・酒類などの準備を指示するメモを送った。","Source note: May 30 note requested spectacles and supplies. Japanese note: 逃亡計画の具体化を示す日付つき情報。","Cautions: メモの原文・所蔵確認が必要。 Verification needed: yes.","細部のリアリティを出す小道具として有用。","Maximilian; Felix Salm-Salm","Salm-Salm escape plan","Querétaro","Mexican Empire","変装; 逃亡準備; 暗号連絡","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","5月30日朝、Maximilianは逃亡用の変装として眼鏡を求め、馬・武器・食料・酒類などの準備を指示するメモを送った。","May 30 note requested spectacles and supplies.","逃亡計画の具体化を示す日付つき情報。","メモの原文・所蔵確認が必要。","yes"
"FACT_MEXEMP_2399","Maximilian would not shave his beard for the disguise","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 296/400","No.4185/7062","スクリーンショット 2026-05-31 13.11.35.png","primary_testimony","probable","Maximilianは特徴的な髭を剃ることを拒み、髭を首の後ろに結び、眼鏡をかける変装案を受け入れた。","Maximilianは特徴的な髭を剃ることを拒み、髭を首の後ろに結び、眼鏡をかける変装案を受け入れた。","Source note: He refused to shave the beard. Japanese note: Maximilianの外見・自意識に関する具体描写。","Cautions: 逸話性が強いため要出典確認。 Verification needed: yes.","悲劇的で少し滑稽な逃亡準備として描ける。","Maximilian","Salm-Salm escape plan","Querétaro","Mexican Empire","変装; 身体的特徴; 君主像","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Maximilianは特徴的な髭を剃ることを拒み、髭を首の後ろに結び、眼鏡をかける変装案を受け入れた。","He refused to shave the beard.","Maximilianの外見・自意識に関する具体描写。","逸話性が強いため要出典確認。","yes"
