"id","title","status","created","updated","tags","date_start","date_end","date_precision","calendar","evidence_category","confidence","summary","source_id","chapter","section","page","printed_page","archive_page","kindle_location","screenshot_file","people","events","places","organizations","themes","related_fact_cards","notes","date","event_summary","source_title","author","creative_use","verification_needed","related_capture"
"TIME_HAMNETT_JUAREZ_0039","1880年代以降の連結本格化とそれ以前の商業的連関","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;economic-unity","1880s","","approximate_period","Gregorian","author_interpretation","uncertain","Hamnettは、1880年代以降にメキシコの連結が本格化したと示唆しつつ、それ以前にも商業的連関が存在したと説明する。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 8","8","/page/8/mode/2up, Page 8 (23/323)","","スクリーンショット 2026-06-13 17.22.50.jpeg","","","Mexico","","economic unity;infrastructure","FACT_HAMNETT_JUAREZ_0093","Creative use: 鉄道以前・以後の経済統合の差を描ける。 Verification needed: yes","1880s","Hamnettは、1880年代以降にメキシコの連結が本格化したと示唆しつつ、それ以前にも商業的連関が存在したと説明する。","Juárez","Brian R. Hamnett","鉄道以前・以後の経済統合の差を描ける。","yes","CAP_HAMNETT_JUAREZ_0007"
"TIME_HAMNETT_JUAREZ_0040","1528年、Mexico Cityに大司教座が設立されたとされる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;church-structure","1528","","year","Gregorian","historical_fact","probable","Mexico Cityに大司教座が設立されたとHamnettは説明する。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 8","8","/page/8/mode/2up, Page 8 (23/323)","","スクリーンショット 2026-06-13 17.22.50.jpeg","","Spanish colonial era","Mexico City;New Spain","archdiocese of Mexico City;Catholic Church","Church structure;colonial legacy;national cohesion","FACT_HAMNETT_JUAREZ_0099","Creative use: 教会制度が植民地空間を結んだ背景に使える。 Verification needed: yes","1528","Mexico Cityに大司教座が設立されたとHamnettは説明する。","Juárez","Brian R. Hamnett","教会制度が植民地空間を結んだ背景に使える。","yes","CAP_HAMNETT_JUAREZ_0007"
"TIME_HAMNETT_JUAREZ_0041","1765年以降、Bourbon reformsが経済・政治連関と代表理念に影響した","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;bourbon-reforms","after 1765","","approximate_period","Gregorian","author_interpretation","probable","Bourbon reforms / Bourbon centralization後、植民地期の経済・政治連関や代表理念の形成に変化が生じたとされる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 8-9","8-9","/page/8/mode/2up, Page 8 (23/323)","","スクリーンショット 2026-06-13 17.22.50.jpeg","","Bourbon reforms;Bourbon centralization","New Spain;Mexico","Spanish monarchy","colonial legacy;representative government;political economy","FACT_HAMNETT_JUAREZ_0098;FACT_HAMNETT_JUAREZ_0108","Creative use: Bourbon reformsを、後の代表制要求の遠因として使える。 Verification needed: yes","after 1765","Bourbon reforms / Bourbon centralization後、植民地期の経済・政治連関や代表理念の形成に変化が生じたとされる。","Juárez","Brian R. Hamnett","Bourbon reformsを、後の代表制要求の遠因として使える。","yes","CAP_HAMNETT_JUAREZ_0007"
"TIME_HAMNETT_JUAREZ_0042","1824年、First Federal Republic成立時に10の司教区が存在したとされる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;dioceses","1824","","year","Gregorian","historical_fact","probable","First Federal Republic成立時、Mexicoには10の司教区が存在したとHamnettは述べる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 8","8","/page/8/mode/2up, Page 8 (23/323)","","スクリーンショット 2026-06-13 17.22.50.jpeg","","establishment of the First Federal Republic","Mexico","First Federal Republic;Catholic Church;dioceses","Church structure;national cohesion;federalism","FACT_HAMNETT_JUAREZ_0099","Creative use: 独立後共和国と教会制度の重なりを背景化できる。 Verification needed: yes","1824","First Federal Republic成立時、Mexicoには10の司教区が存在したとHamnettは述べる。","Juárez","Brian R. Hamnett","独立後共和国と教会制度の重なりを背景化できる。","yes","CAP_HAMNETT_JUAREZ_0007"
"TIME_HAMNETT_JUAREZ_0043","1840年までにCentral American Federationが分解した比較事例","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;central-american-federation","by 1840","","approximate_period","Gregorian","historical_fact","probable","Kingdom of Guatemala、のちのCentral American Federationは、1840年までに構成部分へ分解した比較事例として挙げられる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 8","8","/page/8/mode/2up, Page 8 (23/323)","","スクリーンショット 2026-06-13 17.22.50.jpeg","","dissolution of Central American Federation","Guatemala;Central America","Kingdom of Guatemala;Central American Federation","national cohesion;regional disintegration;comparative history","FACT_HAMNETT_JUAREZ_0100","Creative use: メキシコが分解しなかったことの比較材料。 Verification needed: yes","by 1840","Kingdom of Guatemala、のちのCentral American Federationは、1840年までに構成部分へ分解した比較事例として挙げられる。","Juárez","Brian R. Hamnett","メキシコが分解しなかったことの比較材料。","yes","CAP_HAMNETT_JUAREZ_0007"
"TIME_HAMNETT_JUAREZ_0044","1830年代、United Statesの台頭がメキシコへの外圧として働き始めた","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;united-states","1830s","","approximate_period","Gregorian","author_interpretation","probable","United Statesの台頭が、メキシコの政治的一体性に影響する外圧として働き始めたとHamnettは説明する。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 9","9","/page/8/mode/2up, Page 8 (23/323)","","スクリーンショット 2026-06-13 17.22.50.jpeg","","rise of the United States","United States;Mexico","Mexican Republic","US-Mexico relations;external pressure;national cohesion","FACT_HAMNETT_JUAREZ_0101","Creative use: 米国の台頭を背景圧として描ける。 Verification needed: no","1830s","United Statesの台頭が、メキシコの政治的一体性に影響する外圧として働き始めたとHamnettは説明する。","Juárez","Brian R. Hamnett","米国の台頭を背景圧として描ける。","no","CAP_HAMNETT_JUAREZ_0007"
"TIME_HAMNETT_JUAREZ_0045","1836年、Texas喪失後にUS-Mexico関係が内政・外交の主要要因となった","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;texas","1836","","year","Gregorian","author_interpretation","probable","Texas喪失後、United Statesとの関係はメキシコの外交・内政に継続的影響を与える主要要因となった。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 9","9","/page/8/mode/2up, Page 8 (23/323)","","スクリーンショット 2026-06-13 17.22.50.jpeg","","loss of Texas","Texas;United States;Mexico","Mexican Republic","US-Mexico relations;domestic politics;external pressure","FACT_HAMNETT_JUAREZ_0102","Creative use: Texas喪失の記憶を、第二帝政期の政治感情へ接続できる。 Verification needed: yes","1836","Texas喪失後、United Statesとの関係はメキシコの外交・内政に継続的影響を与える主要要因となった。","Juárez","Brian R. Hamnett","Texas喪失の記憶を、第二帝政期の政治感情へ接続できる。","yes","CAP_HAMNETT_JUAREZ_0007"
"TIME_HAMNETT_JUAREZ_0046","1846-1847年、War of 1846-47でメキシコは敗北と領土喪失を経験した","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;war-1846-1847","1846","1847","year_range","Gregorian","historical_fact","probable","War of 1846-47でMexican armyがUnited Statesに敗北し、メキシコは領土喪失と弱体化を経験した。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 9","9","/page/8/mode/2up, Page 8 (23/323)","","スクリーンショット 2026-06-13 17.22.50.jpeg","","War of 1846–47","Mexico;United States","Mexican army","territorial loss;national humiliation;US-Mexico relations","FACT_HAMNETT_JUAREZ_0103","Creative use: 1860年代の反外国干渉意識の前史として使える。 Verification needed: yes","1846-1847","War of 1846-47でMexican armyがUnited Statesに敗北し、メキシコは領土喪失と弱体化を経験した。","Juárez","Brian R. Hamnett","1860年代の反外国干渉意識の前史として使える。","yes","CAP_HAMNETT_JUAREZ_0007"
"TIME_HAMNETT_JUAREZ_0047","1847年敗北は政治的遠心要素を再開した契機の一つとされる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;defeat-1847","1847","","year","Gregorian","author_interpretation","probable","Hamnettは、1847年敗北がReform WarとFrench Interventionに先立ってメキシコ政治の遠心的要素を再開した契機の一つとする。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 9","9","/page/8/mode/2up, Page 8 (23/323)","","スクリーンショット 2026-06-13 17.22.50.jpeg","","defeat of 1847","Mexico","Mexican Republic","centrifugal elements;regionalism;national crisis","FACT_HAMNETT_JUAREZ_0106","Creative use: 1847年敗北から1860年代危機への連続性を描ける。 Verification needed: yes","1847","Hamnettは、1847年敗北がReform WarとFrench Interventionに先立ってメキシコ政治の遠心的要素を再開した契機の一つとする。","Juárez","Brian R. Hamnett","1847年敗北から1860年代危機への連続性を描ける。","yes","CAP_HAMNETT_JUAREZ_0007"
"TIME_HAMNETT_JUAREZ_0048","1858-1861年、Reform Warは政治的遠心力を再開した危機として挙げられる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;reform-war","1858","1861","year_range","Gregorian","author_interpretation","probable","Reform Warは、1847年敗北に続き、メキシコ政治の遠心的要素を再び開いた危機として挙げられる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 9","9","/page/8/mode/2up, Page 8 (23/323)","","スクリーンショット 2026-06-13 17.22.50.jpeg","Benito Juárez","Reform War","Mexico","Liberal Party;Conservative Party;Mexican Republic","Liberal Reform;constitutional government;regionalism","FACT_HAMNETT_JUAREZ_0106","Creative use: French Intervention直前の国内分裂の前史に使える。 Verification needed: yes","1858-1861","Reform Warは、1847年敗北に続き、メキシコ政治の遠心的要素を再び開いた危機として挙げられる。","Juárez","Brian R. Hamnett","French Intervention直前の国内分裂の前史に使える。","yes","CAP_HAMNETT_JUAREZ_0007"
